"filename","path","family","syntax_errors","sr_flags","ready_for_product","priority","recommended_action","notes"
"PICE-02.pine","D:\work\coding\trading\indicators\other\PICE-02.pine","PI","single-quote-odd(13)","alertcondition","yes","P2","repair-or-archive",""
"PICE-03.pine","D:\work\coding\trading\indicators\other\PICE-03.pine","PI","single-quote-odd(9)","alertcondition","yes","P2","repair-or-archive",""
"PICE-04.pine","D:\work\coding\trading\indicators\other\PICE-04.pine","PI","single-quote-odd(13)","alertcondition","yes","P2","repair-or-archive",""
"PILIT-01.pine","D:\work\coding\trading\indicators\other\PILIT-01.pine","PI","","alertcondition;pine-v6","no","P2","repair-or-archive","sr:alertcondition|pine-v6"
"PILIT-02.pine","D:\work\coding\trading\indicators\other\PILIT-02.pine","PI","","alertcondition","yes","P1","sr-review-and-fix",""
"SCALP-01.pine","D:\work\coding\trading\indicators\other\SCALP-01.pine","other","","alertcondition","yes","P1","sr-review-and-fix",""
"SCALP-02.pine","D:\work\coding\trading\indicators\other\SCALP-02.pine","other","","alertcondition","yes","P1","sr-review-and-fix",""
"SMBR-01.pine","D:\work\coding\trading\indicators\other\SMBR-01.pine","other","","alertcondition","yes","P1","sr-review-and-fix",""
"SMBR-02.pine","D:\work\coding\trading\indicators\other\SMBR-02.pine","other","","alertcondition","yes","P1","sr-review-and-fix",""
"SMPA-01.pine","D:\work\coding\trading\indicators\other\SMPA-01.pine","SMPA","","alertcondition;request.security","no","P1","sr-review-and-fix","sr:alertcondition|request.security"
"SMPA-02.pine","D:\work\coding\trading\indicators\other\SMPA-02.pine","SMPA","curly-mismatch(7/8)","alertcondition;request.security","no","P2","repair-or-archive","sr:alertcondition|request.security"
"SMPA-04.pine","D:\work\coding\trading\indicators\other\SMPA-04.pine","SMPA","suspicious-ellipsis","alertcondition","yes","P2","repair-or-archive",""
"SMPA-05.pine","D:\work\coding\trading\indicators\other\SMPA-05.pine","SMPA","","alertcondition;request.security","no","P1","sr-review-and-fix","sr:alertcondition|request.security"
"SMPA-06.pine","D:\work\coding\trading\indicators\other\SMPA-06.pine","SMPA","curly-mismatch(9/13)","alertcondition;request.security","no","P2","repair-or-archive","sr:alertcondition|request.security"
"STAI-01.pine","D:\work\coding\trading\indicators\other\STAI-01.pine","other","single-quote-odd(129)","","yes","P2","repair-or-archive",""
"STAI-02.pine","D:\work\coding\trading\indicators\other\STAI-02.pine","other","curly-mismatch(7/8);single-quote-odd(129)","","no","P2","repair-or-archive","syntax:curly-mismatch(7/8)|single-quote-odd(129)"
"TEST-01.pine","D:\work\coding\trading\indicators\other\TEST-01.pine","other","single-quote-odd(3);suspicious-ellipsis","request.security","no","P2","repair-or-archive","syntax:single-quote-odd(3)|suspicious-ellipsis"
"TEST-02.pine","D:\work\coding\trading\indicators\other\TEST-02.pine","other","","alertcondition","yes","P1","sr-review-and-fix",""
"TEST-03.pine","D:\work\coding\trading\indicators\other\TEST-03.pine","other","","request.security","yes","P1","sr-review-and-fix",""
"TEST-04.pine","D:\work\coding\trading\indicators\other\TEST-04.pine","other","missing-version-marker","","yes","P2","repair-or-archive",""
"VP-01.pine","D:\work\coding\trading\indicators\vp\VP-01.pine","other","","","yes","P0","keep-production",""
"VP-02.pine","D:\work\coding\trading\indicators\vp\VP-02.pine","other","","","yes","P0","keep-production",""
"VP-03.pine","D:\work\coding\trading\indicators\vp\VP-03.pine","other","single-quote-odd(203)","","yes","P2","repair-or-archive",""
"VP-04.pine","D:\work\coding\trading\indicators\vp\VP-04.pine","other","","pine-v6","yes","P1","sr-review-and-fix",""
"VPP-02.pine","D:\work\coding\trading\indicators\vp\VPP-02.pine","VPP","suspicious-ellipsis","request.security","yes","P2","repair-or-archive",""
"VPP-05.pine","D:\work\coding\trading\indicators\vp\VPP-05.pine","VPP","suspicious-ellipsis","request.security","yes","P2","repair-or-archive",""
"VPP-06.pine","D:\work\coding\trading\indicators\vp\VPP-06.pine","VPP","suspicious-ellipsis","request.security","yes","P2","repair-or-archive",""
"VPP-07.pine","D:\work\coding\trading\indicators\vp\VPP-07.pine","VPP","suspicious-ellipsis","request.security","yes","P2","repair-or-archive",""
"VPP-08.pine","D:\work\coding\trading\indicators\vp\VPP-08.pine","VPP","suspicious-ellipsis","request.security","yes","P2","repair-or-archive",""
"SMPA-03.pine","D:\work\coding\trading\indicators\vsa\SMPA-03.pine","SMPA","curly-mismatch(1/0);suspicious-ellipsis","alertcondition","no","P2","repair-or-archive","syntax:curly-mismatch(1/0)|suspicious-ellipsis"
"VSA-01.pine","D:\work\coding\trading\indicators\vsa\VSA-01.pine","other","suspicious-ellipsis","alertcondition","yes","P2","repair-or-archive",""
"VSA-02.pine","D:\work\coding\trading\indicators\vsa\VSA-02.pine","other","","alertcondition;pine-v6","no","P2","repair-or-archive","sr:alertcondition|pine-v6"
"VSA-04.pine","D:\work\coding\trading\indicators\vsa\VSA-04.pine","other","","alertcondition;pine-v6","no","P2","repair-or-archive","sr:alertcondition|pine-v6"
"WSH-01.pine","D:\work\coding\trading\indicators\wyckoff\WSH-01.pine","other","single-quote-odd(1)","request.security","yes","P2","repair-or-archive",""
"WSH-03.pine","D:\work\coding\trading\indicators\wyckoff\WSH-03.pine","other","","alertcondition;request.security","no","P1","sr-review-and-fix","sr:alertcondition|request.security"
"WSH-04.pine","D:\work\coding\trading\indicators\wyckoff\WSH-04.pine","other","single-quote-odd(1)","request.security","yes","P2","repair-or-archive",""
"SMBR-03.pine","D:\work\coding\trading\strategies\SMBR-03.pine","other","single-quote-odd(17)","strategy-calls;strategy();request.security","no","P2","repair-or-archive","sr:strategy-calls|strategy()|request.security"
